EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,NICAR_RULEYEAR,NICAR_RULEMON,NICAR_TAXYEAR,NICAR_TAXMONTH
19818,PALMER SECOND BAPTIST CHURCH,,1050 THORNDIKE ST,PALMER,MA,01069-1507,3125,3,9,7000,195504,1,10,1000000,5,1,,0,0,6,0,12,0,0,0,,3514,1955,4,,
29215,ST GEORGE CATHEDRAL,,523 E BROADWAY,SOUTH BOSTON,MA,02127-4415,2365,3,9,7000,197210,1,10,1000000,1,1,,0,0,6,0,12,0,0,0,,,1972,10,,
587764,IGLESIA BETHESDA INC,,157 ANDOVER ST,LOWELL,MA,01852-2348,0,3,3,7000,200401,1,10,0,1,1,,0,0,6,0,12,0,0,0,X21,,2004,1,,
635913,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,,454 ESSEX ST,LAWRENCE,MA,01840-1242,0,3,3,7000,200401,1,10,0,1,1,,0,0,6,0,12,0,0,0,X21,,2004,1,,
765634,NEW HOPE CONGREGATIONAL CHURCH,,757 SHAWMUT AVE APT 709,BOSTON,MA,02119-2048,0,3,3,7000,200404,1,10,0,1,1,,0,0,6,0,12,0,0,0,X20,,2004,4,,
841363,AGAPE HOUSE OF PRAYER,,39 GOODALE RD STE 2,MATTAPAN,MA,02126-1527,0,3,3,1700,200412,1,10,0,1,1,,0,0,6,0,12,0,0,0,X20,,2004,12,,
852649,BETHANY PRESBYTERIAN CHURCH,,32 HARVARD ST,BROOKLINE,MA,02445-7994,0,3,3,7000,200504,1,10,0,1,1,,0,0,6,0,12,0,0,0,X20,,2005,4,,
1028397,UNITY IN THE CITY,,955 MASSACHUSETTS AVE STE 117,CAMBRIDGE,MA,02139-3180,2062,3,9,2000,197002,1,10,59029000,5,1,,0,0,1,0,12,0,0,0,,,1970,2,,
1037180,MIDDLESEX BARBARIANS R F C INC,,37 BOW ST,WOBURN,MA,01801-3636,0,3,3,1200,201407,1,16,0,1,1,,0,0,2,0,1,0,0,0,N60,,2014,7,,
1085119,MOLINA INSTITUTE FOR PHOTON PHYSICS RESEARCH INC,% ALBERTO MOLINA MARTINEZ,20 WARE ST APT 24,CAMBRIDGE,MA,02138-4016,0,3,3,8000,201407,1,15,0,1,1,,0,0,1,0,6,0,0,0,Z99,,2014,7,,
